Organism	Cutoff	Sensitivity/Specificity
Actinidia_chinensis	0.791	0.993
Amborella_trichopoda	0.641	0.988
Ananas_comosus	0.244	0.943
Aquilegia_coerulea	0.872	0.997
Arabidopsis_lyrata	0.697	0.984
Arabidopsis_thaliana	0.814	0.996
Arachis_ipaensis	0.780	0.992
Brachypodium_distachyon	0.751	0.979
Brassica_napus	0.842	0.987
Brassica_rapa	0.393	0.989
Capsella_rubella	0.683	0.996
Capsicum_annum	0.519	0.988
Carica_papaya	0.485	0.989
Chlamydomonas_reinhardtii	0.865	0.993
Cicer_arietinum	0.807	0.995
Citrus_clementina	0.712	0.980
Citrus_maxima	0.885	0.992
Citrus_sinesis	0.749	0.993
Coffea_arabica	0.696	0.998
Cucumis_sativus	0.517	0.989
Daucus_carota	0.921	0.998
Durio_zibethinus	0.818	0.999
Elaeis_guineensis	0.238	0.991
Erythranthe_guttata	0.701	0.992
Eucalyptus_grandis	0.434	0.997
Eutrema_salsugineum	0.831	0.988
Fragaria_vesca	0.694	0.995
Glycine_max	0.880	0.986
Gossypium_barbadense_	0.811	0.982
Gossypium_raimondii	0.833	0.982
Hordeum_vulgare	0.839	1.000
Jatropha_curcas	0.605	0.995
Malus_domestica	0.618	0.987
Musa_acuminata	0.788	0.984
Nicotina_tabacum	0.669	0.986
Oryza_sativa	0.643	0.931
Pisum_sativum	0.477	0.981
Sorghum_bicolor	0.696	0.991
Triticum_aestivum	0.858	0.988
Vitis_vinifera	0.417	0.988
Zea_mays	0.607	0.978
Bos_taurus	0.452	0.969
Canis_lupus_familiaris	0.744	0.958
Capra_hircus	0.695	0.971
Danio_rerio	0.847	0.960
Drosophila_melanogaster	0.430	0.995
Equus_caballus	0.585	0.977
Gallus_gallus	0.318	0.965
Gorilla_gorilla	0.646	0.977
Heterocephalus_glaber	0.606	0.974
Homo_sapiens	0.401	0.967
Macaca_mulatta	0.619	0.967
Mus_musculus	0.341	0.973
Naja_naja	0.911	0.932
Ovis_aries	0.695	0.971
Pan_troglodytes	0.651	0.973
Pongo_abelii	0.610	0.976
Rattus_norvegicus	0.615	0.965
Salmo_salar	0.728	0.971
Sus_scrofa	0.236	0.978
